id	effect	rawPval	adjPval	logAdjPval
P-hsa04261-73	-0.593464559103366	0.5528702945824628	0.9622302394427007	0.038501522812255405
P-hsa04261-72	-0.34227802616973485	0.7321416705833568	1	-0
P-hsa04261-4	-0.3980950131580295	0.6905601501864096	1	-0
P-hsa04261-37	1.7155834677230455	0.08623830649573216	0.6417149013307186	0.443611152848537
P-hsa04261-14 16	-0.1527848125149128	0.8785679749681565	1	-0
P-hsa04261-52	0.3528801411257845	0.7241782994029382	1	-0
P-hsa04261-34	1.8329920531002881	0.06680375290223206	0.5839061737273923	0.5380149704870375
P-hsa04261-36	0.5079912331329922	0.6114594914070091	0.9812643335154397	0.01891340258793616
P-hsa04261-62	-0.1554393941423813	0.8764749295281704	1	-0
P-hsa04261-66	-0.6329950957601891	0.5267368455942838	0.9612435042168058	0.03952751582693077
P-hsa04270-10 3 71	0.34049689580430786	0.7334823600792837	1	-0
P-hsa04270-24	-0.5383356919875419	0.5903453145450703	0.974503654173868	0.02582701024794711
P-hsa04270-46	-1.2251275306135607	0.2205271737566612	0.8455283014327737	0.16779363819037713
P-hsa04270-48	1.0773811009649303	0.2813100437300309	0.8837038882038996	0.12363324055397361
P-hsa04270-65	0.4690172302467931	0.6390573201264125	0.9880090718917233	0.012063399199781262
P-hsa04270-17	-0.7419125722858121	0.45814030801261674	0.9445820135941854	0.05701276299488108
P-hsa04270-28	0.00557129451368698	0.9955547731199939	1	-0
P-hsa04310-13	-0.8010543012372365	0.42310021048806057	0.9385569220896995	0.06341177259484435
P-hsa04310-16	-0.05300578151810698	0.9577273012061287	1	-0
P-hsa04310-14	-1.2127650276128599	0.22521966988804798	0.850002953156883	0.16251545520159497
P-hsa04310-20	2.371728781523393	0.017705081795109212	0.40146214829307736	0.9126420257728637
P-hsa04310-22	1.4816263853145373	0.1384397343725725	0.7000348832424421	0.35662511197687646
P-hsa04310-36	-0.462323046339231	0.6438496750414073	0.9880090718917233	0.012063399199781262
P-hsa04310-35	1.3709141566012297	0.1704017177342998	0.767409367663233	0.26473489422889174
P-hsa04310-34	1.0617175694389358	0.2883639208103532	0.8956468798679184	0.11020905097816475
P-hsa04310-33	1.3630831208483047	0.17285631575594795	0.7675844836805982	0.264506729121948
P-hsa04310-32	2.7303339074574655	0.006327020583402065	0.3060052512282324	1.184153016300426
P-hsa04310-31	1.3014111956286778	0.19311774350309774	0.7967763032001989	0.2271813131135797
P-hsa04310-57	1.5141753090893553	0.12998138221697153	0.687245738324492	0.37506335301167687
P-hsa04330-12	-2.4421428578159907	0.014600367789414648	0.3754950794287909	0.9795099119149625
P-hsa04330-11	-2.49155264169796	0.012718611826719961	0.3754950794287909	0.9795099119149625
P-hsa04330-19	0.43077064153164063	0.6666351485062585	0.9972946878769865	0.0027089780930765217
P-hsa04340-13	-0.6203769675974432	0.5350096325706644	0.9622302394427007	0.038501522812255405
P-hsa04340-14	-0.7156174277647012	0.4742276094290292	0.9445820135941854	0.05701276299488108
P-hsa04340-15	-1.2252882696077882	0.22046662654950944	0.8455283014327737	0.16779363819037713
P-hsa04340-49	-0.7634376593423722	0.4452024278056774	0.9411898835460525	0.06061037065030243
P-hsa04340-50	-0.7685926591570658	0.4421351647252125	0.9411898835460525	0.06061037065030243
P-hsa04340-17	0.03000259292419986	0.9760649852484438	1	-0
P-hsa04340-26	0.5891595643034888	0.5557542394366479	0.9622302394427007	0.038501522812255405
P-hsa04340-31	0.9903016595186807	0.32202669568721176	0.9111545690231833	0.0930427264951396
